sector,symbol,date_calendar,date_event,eps,estimatedEPS,eps_surprise,PRE_CAR,AR_0,AR_1,DRIFT_2_5,DRIFT_1_5,sentiment_0_10
HealthCare,JNJ,1/22/2025,1/22/2025,2.04,1.99,0.05,0.031595139,-0.018451828,0.010394815,0.030062918,0.040457733,4.990904098
HealthCare,JNJ,4/15/2025,4/15/2025,2.77,2.58,0.19,0.035113382,-0.005552,-0.001965868,0.010818352,0.008852484,4.990904098
HealthCare,JNJ,7/16/2025,7/16/2025,2.77,2.68,0.09,-0.006796299,0.061204631,-0.011795098,0.034412097,0.022616999,4.952139631
HealthCare,JNJ,10/14/2025,10/14/2025,2.8,2.76,0.04,0.008997717,-0.001496956,-0.000168849,-0.002680398,-0.002849247,
HealthCare,PFE,2/2/2021,2/2/2021,0.42,0.46,-0.04,-0.027153282,-0.029995538,-0.004397706,-0.006875856,-0.011273562,5.29399938
HealthCare,PFE,5/4/2021,5/4/2021,0.93,0.77,0.16,0.028971958,0.005693901,0.000319224,-0.013883056,-0.013563832,5.058894176
HealthCare,PFE,7/28/2021,7/28/2021,1.07,0.97,0.1,0.017867144,0.031763787,-0.016826351,0.055133049,0.038306698,6.723540486
HealthCare,PFE,11/2/2021,11/2/2021,1.34,1.09,0.25,0.005672474,0.03946206,-0.016714742,0.056035313,0.039320572,6.324149491
HealthCare,PFE,2/8/2022,2/8/2022,1.08,0.85,0.23,0.002508246,-0.027714553,-0.002297197,-0.043597915,-0.045895112,8.861972927
HealthCare,PFE,5/3/2022,5/3/2022,1.67,1.47,0.2,-0.019364566,0.017639111,0.004315545,-0.00684583,-0.002530285,8.412228897
HealthCare,PFE,7/28/2022,7/28/2022,2.04,1.78,0.26,0.01104145,-0.030621835,-0.012121243,-0.017802479,-0.029923722,5.122703016
HealthCare,PFE,11/1/2022,11/1/2022,1.78,1.39,0.39,0.013531758,0.034141232,-0.00522629,-0.003213664,-0.008439954,5.874749455
HealthCare,PFE,1/31/2023,1/31/2023,1.14,1.05,0.09,-0.028949022,0.006695869,-0.009415507,-0.011993917,-0.021409424,2.085388154
HealthCare,PFE,5/2/2023,5/2/2023,1.23,0.98,0.25,-0.015595348,0.002882688,-0.011095921,0.001546833,-0.009549087,4.105199948
HealthCare,PFE,8/1/2023,8/1/2023,0.67,0.56,0.11,-0.031152532,-0.008950011,0.001111806,0.018782967,0.019894773,5.276423488
HealthCare,PFE,10/31/2023,10/31/2023,-0.17,-0.32,0.15,0.004220118,-0.000816421,-0.004673074,0.016111466,0.011438392,5.177759267
HealthCare,PFE,1/30/2024,1/30/2024,0.1,-0.19,0.29,-0.024134663,-0.014186327,0.010713367,0.016485106,0.027198473,5.439605638
HealthCare,PFE,5/1/2024,5/1/2024,0.82,0.516,0.304,-0.016458263,0.06316439,0.019068293,0.022961635,0.042029928,5.445263917
HealthCare,PFE,7/30/2024,7/30/2024,0.6,0.458,0.142,0.042167249,0.02315535,-0.031421084,-0.026343422,-0.057764506,5.754081672
HealthCare,PFE,10/29/2024,10/29/2024,1.06,0.614,0.446,-0.004911731,-0.01487225,0.001967777,-0.020408455,-0.018440678,6.023497148
HealthCare,PFE,2/4/2025,2/4/2025,0.63,0.4716,0.1584,-0.016936618,-0.012823778,0.022453323,-0.029461955,-0.007008631,9.349548565
HealthCare,PFE,4/29/2025,4/29/2025,0.92,0.666,0.254,0.029284158,0.031803851,0.027974598,-0.058183424,-0.030208826,9.624279262
HealthCare,PFE,8/5/2025,8/5/2025,0.78,0.58,0.2,-0.022720972,0.055404798,-0.036032999,0.025837185,-0.010195813,9.444870017
HealthCare,PFE,11/4/2025,11/4/2025,0.87,0.633,0.237,-0.000206436,-0.007114406,0.011200448,0.034278474,0.045478922,0.264265793
HealthCare,UNH,1/20/2021,1/20/2021,2.52,2.41,0.11,-0.02409823,-0.016057114,0.011001445,-0.040951539,-0.029950094,9.605142763
HealthCare,UNH,4/15/2021,4/15/2021,5.31,4.38,0.93,0.015769824,0.029283777,-0.000534902,0.02198109,0.021446188,6.844800524
HealthCare,UNH,7/15/2021,7/15/2021,4.7,4.43,0.27,0.003761593,0.014096695,0.002601868,-0.015174505,-0.012572638,6.3972711
HealthCare,UNH,10/14/2021,10/14/2021,4.52,4.41,0.11,0.021949153,0.030613784,0.013195527,0.021041706,0.034237233,8.688152242
HealthCare,UNH,1/19/2022,1/19/2022,4.48,4.31,0.17,0.002630641,0.0109545,0.009243618,0.011184151,0.020427769,8.613357292
HealthCare,UNH,4/14/2022,4/14/2022,5.49,5.38,0.11,0.005378586,0.002483424,-0.003569657,-0.013475059,-0.017044716,8.473356594
HealthCare,UNH,7/15/2022,7/15/2022,5.57,5.2,0.37,-0.012876294,0.040749178,-0.015968307,-0.023297655,-0.039265962,6.380710914
HealthCare,UNH,10/14/2022,10/14/2022,5.79,5.42,0.37,-0.008915325,0.020120003,-5.29E-05,0.006747818,0.006694964,6.465449934
HealthCare,UNH,1/13/2023,1/13/2023,5.34,5.17,0.17,-0.014318947,-0.014716505,-0.008534004,-0.003564527,-0.012098531,8.873340995
HealthCare,UNH,4/14/2023,4/14/2023,6.26,6.13,0.13,0.032973575,-0.025295198,-0.012870646,-0.036499905,-0.049370551,7.107061008
HealthCare,UNH,7/14/2023,7/14/2023,6.14,5.99,0.15,-0.050764352,0.073448385,0.007686768,0.048052159,0.055738928,7.324701119
HealthCare,UNH,10/13/2023,10/13/2023,6.56,6.32,0.24,0.011891894,0.027945327,-0.00564613,-0.00990829,-0.01555442,7.367260912
HealthCare,UNH,1/12/2024,1/12/2024,6.16,5.98,0.18,-0.018478696,-0.034773283,-0.004943989,-0.018057457,-0.023001446,5.142134279
HealthCare,UNH,4/16/2024,4/16/2024,6.91,6.61,0.3,-0.019707516,0.052726343,0.02209071,0.017745866,0.039836576,8.41470445
HealthCare,UNH,7/16/2024,7/16/2024,6.8,6.65,0.15,0.0537247,0.065257817,0.045045731,-0.031236995,0.013808736,5.592878405
HealthCare,UNH,10/15/2024,10/15/2024,7.15,7,0.15,0.027635023,-0.083669543,0.025107234,-0.011086324,0.014020911,5.475761211
HealthCare,UNH,1/16/2025,1/16/2025,6.81,6.74,0.07,0.053674803,-0.060252612,-0.003790156,0.04013084,0.036340684,4.838740826
HealthCare,UNH,4/17/2025,4/17/2025,7.2,7.29,-0.09,0.033273127,-0.223808045,-0.052218945,-0.044130879,-0.096349824,4.805078395
HealthCare,UNH,7/29/2025,7/29/2025,4.08,4.45,-0.37,0.018278702,-0.070350563,0.023059255,-0.037149899,-0.014090644,6.863652505
HealthCare,UNH,10/28/2025,10/28/2025,2.92,2.8,0.12,0.004249239,0.005704089,-0.032669263,-0.056140498,-0.088809761,7.76668869
